com_av,libelle_av,com_ap,libelle_ap
23135,Morterolles,23227,Saint-Pardoux-Morterolles
24400,Saint-Étienne-des-Landes,24585,Villefranche-du-Périgord
27121,Bus-Saint-Rémy,27213,Vexin-sur-Epte
27585,Saint-Paul-sur-Risle,27467,Pont-Audemer
27651,Tournedos-sur-Seine,27471,Porte-de-Seine
32045,Berdoues-Ponsampère,32045,Berdoues
35020,Bazouges-sous-Hédé,35130,Hédé
36201,Saint-Martin-de-Lamps,36093,Levroux
39578,Viremont,39086,Cernon
41165,Oigny,41248,Couëtron-au-Perche
47116,Gueyze,47302,Sos
48076,Javols,48009,Peyre en Aubrac
52170,Dommarien,52170,Dommarien
52226,Gourzon,52265,Bayard-sur-Marne
52375,Palaiseul,52375,Palaiseul
52381,Percey-le-Pautel,52292,Vallinot
52410,Provenchères-sur-Meuse,52332,Le Val-de-Meuse
55030,Baudignécourt,55150,Demange-Baudignécourt
57243,Garche,57672,Thionville
57279,Guirlange,57252,Gomelange
69222,Saint-Laurent-d'Oingt,69024,Val d'Oingt
76080,Bermonville,76258,Terres-de-Caux
78241,Fontenay-en-Parisis,95241,Fontenay-en-Parisis
78395,Le Mesnil-Aubry,95395,Le Mesnil-Aubry
78424,Montigny-lès-Cormeilles,95424,Montigny-lès-Cormeilles
78617,Tigery,91617,Tigery
78665,La Ville-du-Bois,91665,La Ville-du-Bois
80551,Misery,80509,Marchélepot-Misery
89429,Vareilles,89411,Les Vallées de la Vanne
11050,Brenac,11304,Quillan
14359,Lécaude,14431,Mézidon Vallée d'Auge
14523,Proussy,14174,Condé-en-Normandie
20064,Cardo-Torgia,2A064,Cardo-Torgia
20065,Cargèse,2A065,Cargèse
20191,Olmiccia,2A191,Olmiccia
24047,La Boissière-d'Ans,24147,Cubjac-Auvézère-Val d'Ans
24078,La Canéda,24520,Sarlat-la-Canéda
25168,Coulans-sur-Lizon,25223,Éternoz
25363,Mambouhans,25187,Mambelin
27526,Sainte-Croix-sur-Aizier,27107,Bourneville-Sainte-Croix
38122,Communay,69272,Communay
39369,Morval,39010,Andelot-Morval
44147,La Rouxière,44213,Loireauxence
49031,Bocé,49018,Baugé-en-Anjou
50595,Le Theil,50209,Gonneville-Le Theil
52255,Lacrète,52061,Bourdons-sur-Rognon
55283,Lavignéville,55274,Lamorville
55542,Véel,55186,Fains-Véel
57729,Volkrange,57672,Thionville
61115,Condeau,61116,Sablons sur Huisne
65302,Marsous,65032,Arrens-Marsous
74230,Saint-Didier-en-Chablais,74043,Bons-en-Chablais
75031,Épinay-sur-Seine,93031,Épinay-sur-Seine
78022,Arrancourt,91022,Arrancourt
78463,Oncy,91463,Oncy
78492,Le Plessis-Gassot,95492,Le Plessis-Gassot
80492,Longvillers,80245,Domléger-Longvillers
85225,Saint-Hilaire-de-Mortagne,85151,Mortagne-sur-Sèvre
90038,Eschêne-Autrage,90082,Autrechêne
14376,Longraye,14011,Aurseulles
14464,Neuville,14762,Vire
14611,Saint-Manvieu-Bocage,14658,Noues de Sienne
14693,Tordouet,14570,Valorbiquet
14727,Vaubadon,14035,Balleroy-sur-Drôme
15150,Pers,15268,Le Rouget-Pers
16201,Mainfonds,16175,Val des Vignes
16259,La Péruse,16192,Terres-de-Haute-Charente
17399,Saint-Seurin-d'Uzet,17098,Chenac-Saint-Seurin-d'Uzet
35112,Fleurigné,35062,La Chapelle-Fleurigné
41005,Arville,41248,Couëtron-au-Perche
46248,Sainte-Alauzie,46063,Castelnau Montratier-Sainte Alauzie
49096,Cherré,49080,Les Hauts-d'Anjou
50157,Curey,50410,Pontorson
50381,Notre-Dame-du-Touchet,50359,Mortain-Bocage
50383,Octeville,50129,Cherbourg-Octeville
52022,Aubepierre-sur-Aube,52022,Aubepierre-sur-Aube
55016,Aulnois-sous-Vertuzey,55184,Euville
55131,Cousances-au-Bois,55518,Cousances-lès-Triconville
55491,Sommaisne,55423,Rembercourt-Sommaisne
57106,Bouzonville,57106,Bouzonville
60417,Montherlant,60570,Saint-Crépin-Ibouvillers
67562,Zutzendorf,67347,Modern
69011,Arbuissonnas,69172,Salles-Arbuissonnas-en-Beaujolais
73209,Pussy,73187,La Léchère
74246,Saint-Martin-sur-Arve,74256,Sallanches
75013,Le Bourget,93013,Le Bourget
75047,Malakoff,92046,Malakoff
78292,Guibeville,91292,Guibeville
78363,Marcoussis,91363,Marcoussis
78387,Menouville,95387,Menouville
78457,La Norville,91457,La Norville
79151,Loizé,79136,Gournay-Loizé
05041,Clémence-d'Ambel,05064,La Chapelle-en-Valgaudémar
08157,Étion,08105,Charleville-Mézières
10292,Plessis-Gatebled,10208,La Louptière-Thénard
14361,Lénault,14174,Condé-en-Normandie
14395,Malloué,14061,Souleuvre en Bocage
16305,Saint-Christophe-de-Chalais,16073,Chalais
20024,Aullène,2A024,Aullène
20082,Castineta,2B082,Castineta
20349,Viggianello,2A349,Viggianello
22269,Runan,22269,Runan
24298,Mouzens,24142,Coux et Bigaroque-Mouzens
24475,Saint-Pantaly-d'Ans,24147,Cubjac-Auvézère-Val d'Ans
25028,Athose,25424,Les Premiers Sapins
27402,Le Mesnil-Hardray,27447,Le Val-Doré
33265,Marcamps,33339,Prignac-et-Marcamps
35293,Saint-Marc-sur-Couesnon,35282,Rives-du-Couesnon
38220,Marennes,69281,Marennes
38371,Saint-Bonnet-de-Mure,69287,Saint-Bonnet-de-Mure
39357,Montjouvent,39504,Sarrogna
41264,Tripleville,41173,Beauce la Romaine
43243,Taulhac-près-le-Puy,43157,Le Puy
49181,Louerre,49003,Tuffalun
49270,Saint-Christophe-la-Couperie,49069,Orée d'Anjou
53060,Les Chapelles,53121,Javron-les-Chapelles
55538,Vaux-la-Grande,55472,Saulvaux
56142,Moustoir-Remungol,56144,Évellys
61343,Randonnai,61491,Tourouvre au Perche
61383,Saint-Didier-sous-Écouves,61228,L'Orée-d'Écouves
68108,Grentzingen,68240,Illtal
70424,Presle,70197,Dampierre-sur-Linotte
75023,Clamart,92023,Clamart
75030,Dugny,93030,Dugny
78004,Ablon-sur-Seine,94001,Ablon-sur-Seine
78017,Angervilliers,91017,Angervilliers
78585,Sarcelles,95585,Sarcelles
80506,Manicourt,80230,Curchy
80567,Mont-Saint-Quentin,80620,Péronne
81057,Campes,81262,Saint-Marcel-Campes
86219,Saint-Cyr,86019,Beaumont Saint-Cyr
08441,Termes,08198,Grandpré
08442,Terron-lès-Vendresse,08469,Vendresse
10413,Villehardouin,10019,Val-d'Auzon
15177,Saint-Christophe-les-Gorges,15153,Pleaux
20080,Castifao,2B080,Castifao
20091,Cognocoli-Monticchi,2A091,Cognocoli-Monticchi
20300,San-Gavino-di-Carbini,2A300,San-Gavino-di-Carbini
20306,Santa-Lucia-di-Mercurio,2B306,Santa-Lucia-di-Mercurio
20352,Ville-di-Paraso,2B352,Ville-di-Paraso
25414,Le Moutherot,25414,Le Moutherot
27178,Coulonges,27693,Sylvains-les-Moulins
28351,Saint-Maixme-Hauterive,28351,Saint-Maixme-Hauterive
29118,Lanriec,29039,Concarneau
30157,Mars,30052,Bréau-Mars
38461,Saint-Symphorien-d'Ozon,69291,Saint-Symphorien-d'Ozon
39089,Cézia,39137,Saint-Hymetière-sur-Valouse
45140,Faronville,45240,Outarville
50125,Chasseguey,50260,Juvigny les Vallées
50221,Grimesnil,50221,Grimesnil
50280,Lozon,50292,Marigny-Le-Lozon
50306,Le Mesnil-Bœufs,50256,Isigny-le-Buat
50458,Saint-Côme-du-Mont,50099,Carentan les Marais
52397,Poiseul,52397,Poiseul
57562,Ranguevaux,57562,Ranguevaux
66110,Montalba-d'Amélie,66003,Amélie-les-Bains-Palalda
67170,Griesbach,67176,Gundershoffen
75052,Nogent-sur-Marne,94052,Nogent-sur-Marne
75074,Thiais,94073,Thiais
76701,Touffreville-la-Cable,76476,Port-Jérôme-sur-Seine
78105,Breuillet,91105,Breuillet
78200,Dourdan,91200,Dourdan
78218,Éragny,95218,Éragny
78219,Ermont,95219,Ermont
78351,Louvres,95351,Louvres
78507,Prunay-sur-Essonne,91507,Prunay-sur-Essonne
79214,Pouffonds,79251,Marcillé
79305,Sanzay,79013,Argenton-les-Vallées
08118,Chestres,08490,Vouziers
16006,Aizecq,16242,Nanteuil-en-Vallée
16156,Gourville,16286,Rouillac
17014,Antignac,17332,Saint-Georges-Antignac
17040,La Benâte,17277,Essouvert
18131,Lugny-Bourbonnais,18173,Osmery
20019,Arbori,2A019,Arbori
20124,Ghisoni,2B124,Ghisoni
20164,Monacia-d'Orezza,2B164,Monacia-d'Orezza
20223,Pietralba,2B223,Pietralba
24203,Les Graulges,24253,Mareuil en Périgord
25064,Blanchefontaine,25433,Orgeans-Blanchefontaine
27596,Saint-Pierre-du-Mesnil,27049,Mesnil-en-Ouche
28399,Vacheresses-les-Basses,28279,Nogent-le-Roi
35100,Dompierre-du-Chemin,35163,Luitré-Dompierre
44181,Saint-Même-le-Tenu,44087,Machecoul-Saint-Même
46019,Beaumat,46138,Cœur de Causse
49142,La Fosse-de-Tigné,49373,Lys-Haut-Layon
50386,Omonville-la-Rogue,50041,La Hague
50600,Tonneville,50041,La Hague
51136,Châtillon-sur-Marne,51136,Châtillon-sur-Marne
51561,Tahure,51544,Sommepy-Tahure
53006,Argenton-Notre-Dame,53029,Bierné-les-Villages
53167,Nuillé-sur-Ouette,53262,Soulgé-sur-Ouette
55069,Brabant-lès-Villers,55069,Brabant-le-Roi
55560,Villers-aux-Vents,55560,Villers-aux-Vents
57369,Kœking,57672,Thionville
59287,Haucourt-en-Cambrésis,59287,Haucourt-en-Cambrésis
61132,Courteilles,61189,Giel-Courteilles
61220,La Lande-sur-Eure,61230,Longny les Villages
61305,Neuilly-sur-Eure,61230,Longny les Villages
61458,Saint-Victor-de-Réno,61230,Longny les Villages
62110,Berguette,62473,Isbergues
64169,Cassaber,64168,Carresse-Cassaber
69158,Pont-Trambouze,69066,Cours
72033,Bernay-en-Champagne,72219,Bernay-Neuvy-en-Champagne
75046,Maisons-Alfort,94046,Maisons-Alfort
76037,Auquemesnil,76618,Petit-Caux
76150,Butot-en-Caux,76732,Butot-Vénesville
76579,Sainte-Geneviève-en-Caux,76063,Beauval-en-Caux
78173,Congerville,91613,Congerville-Thionville
78405,Milly-la-Forêt,91405,Milly-la-Forêt
89109,Cisery,89197,Guillon-Terre-Plaine
90068,Meroux-Moval,90068,Meroux
01221,Lompnieu,01036,Valromey-sur-Séran
01326,Rillieux,69286,Rillieux
05120,Ristolas,05001,Abriès-Ristolas
10088,Chassericourt,10094,Chavanges
14187,Coulonces,14762,Vire Normandie
16262,Plaizac,16286,Rouillac
29219,Le Ponthou,29199,Plouigneau
38435,Saint-Pancrasse,38395,Plateau-des-Petites-Roches
39195,Dessia,39273,Montlainsia
40302,Sindères,40197,Morcenx-la-Nouvelle
41064,Coulanges,41055,Valloire-sur-Cisse
43161,Reilhac,43132,Mazeyrat-d'Allier
45128,Dossainville,45065,Césarville
48184,Saint-Symphorien,48038,Bel-Air-Val-d'Ance
49206,Montfaucon-Montigné,49301,Sèvremoine
49234,Parçay-les-Pins,49228,Noyant-Villages
50140,Contrières,50419,Quettreville-sur-Sienne
50170,Écoquenéauville,50523,Sainte-Mère-Église
51400,Neuville-sous-Arzillières,51017,Arzillières-Neuville
52148,Courcelles-sur-Aujon,52450,Saint-Loup-sur-Aujon
55402,Parois,55117,Clermont-en-Argonne
61177,Frênes,61486,Tinchebray-Bocage
62394,Guémy,62827,Tournehem-sur-la-Hem
67251,Kuhlendorf,67339,Betschdorf
67323,Niederbetschdorf,67339,Betschdorf
71053,Bragny-en-Charollais,71490,Saint-Vincent-Bragny
73035,Beaune,73261,Saint-Michel-de-Maurienne
75040,Issy-les-Moulineaux,92040,Issy-les-Moulineaux
78052,Beaumont-sur-Oise,95052,Beaumont-sur-Oise
78433,Morigny-Champigny,91433,Morigny-Champigny
78525,Roinville,91525,Roinville
01218,Lochieu,01453,Arvière-en-Valromey
01438,Vésenex-Crassy,01143,Divonne-les-Bains
04010,Argens,04136,La Mure-Argens
08119,Cheveuges-Saint-Aignan,08119,Cheveuges
11349,Saint-Just-de-Bélengard,11128,Escueillens-et-Saint-Just-de-Bélengard
14095,Brécy,14200,Creully sur Seulles
14442,Montchamp,14726,Valdallière
14561,Saint-Aubin-sur-Algot,14126,Cambremer
17370,Saint-Maurice-de-Laurençanne,17454,Tugéras-Saint-Maurice
20003,Aiti,2B003,Aiti
24283,Monsec,24253,Mareuil en Périgord
24375,Saint-Aubin-de-Nabirat,24375,Saint-Aubin-de-Nabirat
25302,Hautepierre-le-Châtelet,25424,Les Premiers Sapins
25606,Vernois-le-Fol,25275,Glère
35158,Le Lou-du-Lac,35060,La Chapelle du Lou du Lac
39383,Nenon,39205,Éclans-Nenon
39542,Valfin-sur-Valouse,39583,Vosbles-Valfin
49162,Jallais,49023,Beaupréau-en-Mauges
51064,Bisseuil,51030,Aÿ-Champagne
52205,Foulain,52205,Foulain
52465,Saulxures,52465,Saulxures
55098,Champlon,55473,Saulx-lès-Champlon
55164,Douaumont,55537,Douaumont-Vaux
55238,Haumont-lès-Lachaussée,55267,Lachaussée
61315,Omméel,61474,Gouffern en Auge
61509,Vingt-Hanaps,61341,Écouves
70161,Colombe-lès-Bithaine,70195,Dambenoît-lès-Colombe
74270,Seythenex,74123,Faverges-Seythenex
76061,Beaufresne,76344,Haudricourt
76078,Bennetot,76258,Terres-de-Caux
78432,Morangis,91432,Morangis
78676,Villers-en-Arthies,95676,Villers-en-Arthies
81194,Narthoux,81245,Saint-Christophe
85212,Sainte-Florence,85212,Sainte-Florence
08290,Mézières,08105,Charleville-Mézières
14581,Saint-Germain-d'Ectot,14011,Aurseulles
14604,Saint-Laurent-du-Mont,14126,Cambremer
14662,Saint-Vigor-des-Mézerets,14357,Terres de Druance
16033,Bayers,16023,Aunac-sur-Charente
17251,Moulons,17282,Pommiers-Moulons
20014,Ambiegna,2A014,Ambiegna
20098,Coti-Chiavari,2A098,Coti-Chiavari
20149,Lugo-di-Nazza,2B149,Lugo-di-Nazza
20216,Piazzali,2B216,Piazzali
20277,Serra-di-Fiumorbo,2B277,Serra-di-Fiumorbo
20309,Santa-Maria-di-Lota,2B309,Santa-Maria-di-Lota
20319,Talasani,2B319,Talasani
20339,Vallica,2B339,Vallica
21318,Ivry-en-Montagne,21327,Val-Mont
27257,Forêt-la-Folie,27213,Vexin-sur-Epte
27268,Le Fresne,27447,Le Val-Doré
27559,Saint-Léger-sur-Bonneville,27361,La Lande-Saint-Léger
27621,Serez,27621,Serez
27676,Les Trois Lacs,27676,Les Trois Lacs
28179,Germignonville,28406,Eole-en-Beauce
48057,Estables,48127,Monts-de-Randon
48164,Saint-Julien-du-Tournel,48027,Mont Lozère et Goulet
49232,Nueil-sur-Layon,49373,Lys-Haut-Layon
49277,Sainte-Gemmes-d'Andigné,49331,Segré-en-Anjou Bleu
50189,Fontenay,50436,Romagny Fontenay
50211,Gouberville,50142,Vicq-sur-Mer
55440,Rosières-devant-Bar,55369,Naives-Rosières
57184,Dornot,57021,Ancy-Dornot
61161,Fel,61474,Gouffern en Auge
62287,Ecquemicourt,62552,Maresquel-Ecquemicourt
70246,Fouvent-le-Bas,70247,Fouvent-Saint-Andoche
72097,Coulombiers,72138,Fresnay-sur-Sarthe
78388,Menucourt,95388,Menucourt
78659,Villabé,91659,Villabé
85055,La Chapelle-Palluau,85055,La Chapelle-Palluau
01201,Lacoux,01185,Hauteville-Lompnes
02692,Saint-Quentin-sur-Allan,02307,La Ferté-Milon
04082,Esparron-la-Bâtie,04023,Bayons
04146,La Pérusse,04217,Thoard
07246,Saint-Jean-de-Pourcharesse,07284,Saint-Pierre-Saint-Jean
14490,Parfouru-l'Éclin,14143,Caumont-sur-Aure
16140,Fontclaireau,16206,Mansle-les-Fontaines
20068,Carticasi,2B068,Carticasi
20141,Letia,2A141,Letia
20262,Rosazia,2A262,Rosazia
20278,Serra-di-Scopamène,2A278,Serra-di-Scopamène
24003,Aillac,24082,Carsac-Aillac
24173,Falgueyrat,24168,Plaisance
25135,Châtillon-sous-Maîche,25138,Les Terres-de-Chaux
27175,Corny,27070,Frenelles-en-Vexin
27494,Le Roncenay,27198,Mesnils-sur-Iton
28420,Vitray-sous-Brézolles,28120,Crucey-Villages
29092,Kernével,29241,Rosporden
29129,Locmaria-Berrien,29227,Poullaouen
35269,Saint-Georges-de-Chesné,35282,Rives-du-Couesnon
38007,Allières-et-Risset,38524,Varces-Allières-et-Risset
38125,Cordéac,38456,Châtel-en-Trièves
38274,Nantoin,38479,Porte-des-Bonnevaux
38482,Sérézin-du-Rhône,69294,Sérézin-du-Rhône
39123,Chatonnay,39290,Valzin en Petite Montagne
39144,Chevry,39478,Saint-Claude
39259,Grange-de-Vaivre,39259,Grange-de-Vaivre
39371,La Mouille,39368,Hauts de Bienne
39536,Treffay,39517,Sirod
45163,Guignonville,45160,Greneville-en-Beauce
45172,Izy,45025,Bazoches-les-Gallerandes
45287,Saint-Loup-de-Gonois,45307,La Selle-sur-le-Bied
49044,Breil,49228,Noyant-Villages
49179,Le Longeron,49301,Sèvremoine
50163,Digulleville,50041,La Hague
50494,Saint-Jean-du-Corail,50359,Mortain-Bocage
52036,Balesmes-sur-Marne,52449,Saints-Geosmes
52144,Corlée,52269,Langres
52252,Jorquenay,52246,Humes-Jorquenay
52427,Robert-Magny,52331,La Porte du Der
61417,Saint-Loyer-des-Champs,61375,Boischampré
67027,Belmont,67027,Belmont
71014,Autun,71014,Autun
74039,Bonneguête,74095,Crempigny-Bonneguête
78328,Labbeville,95328,Labbeville
79292,Sainte-Radegonde,79329,Thouars
80532,Méricourt-sur-Somme,80295,Étinehem-Méricourt
89231,Louesme,89073,Champignelles
04014,Augès,04109,Mallefougasse-Augès
20028,Balogna,2A028,Balogna
20083,Castirla,2B083,Castirla
22089,Kerity,22162,Paimpol
24089,Cazoulès,24325,Pechs-de-l'Espérance
25603,Vermondans,25463,Pont-de-Roide
26184,Miribel,26210,Valherbasse
28042,Bleury,28015,Auneau-Bleury-Saint-Symphorien
28125,Dampierre-sur-Blévy,28226,Maillebois
28150,La Ferté-Villeneuil,28103,Cloyes-les-Trois-Rivières
38493,Solaize,69296,Solaize
41021,La Bosse,41273,Vievy-le-Rayé
42263,Saint-Maurice-sur-Loire,42239,Saint-Jean-Saint-Maurice-sur-Loire
48084,Laval-Atger,48139,Saint Bonnet-Laval
52111,Charmoilles,52432,Rolampont
57465,Metzervisse,57465,Metzervisse
64113,Bergouey-Arancou-Viellenave,64113,Bergouey-Viellenave
67175,Gumbrechtshoffen-Oberbronn,67174,Gumbrechtshoffen
67390,Reimerswiller,67339,Betschdorf
71298,Meulin,71178,Dompierre-les-Ormes
71476,Saint-Romain-des-Îles,71481,Saint-Symphorien-d'Ancelles
76089,Betteville,76289,Saint Martin de l'If
76466,Neuville-lès-Dieppe,76217,Dieppe
78011,Ambleville,95011,Ambleville
78109,Brières-les-Scellés,91109,Brières-les-Scellés
78114,Brunoy,91114,Brunoy
78182,Courcouronnes,91228,Évry-Courcouronnes
78186,Courson-Monteloup,91186,Courson-Monteloup
78359,Maisse,91359,Maisse
78452,Nointel,95452,Nointel
78461,Ollainville,91461,Ollainville
78555,Saint-Gratien,95555,Saint-Gratien
78560,Saint-Jean-de-Beauregard,91560,Saint-Jean-de-Beauregard
79044,Bouillé-Saint-Paul,79063,Val en Vignes
88067,Le Boulay,88322,La Neuveville-devant-Lépanges
88234,Harsault,88029,La Vôge-les-Bains
02301,Faucoucourt,02018,Anizy-le-Grand
02344,Gernicourt,51171,Cormicy
02811,Villers-en-Prayères,02439,Les Septvallons
08114,Chéhéry,08115,Chémery-Chéhéry
10277,Palis,10003,Aix-Villemaur-Pâlis
14596,Saint-Jean-des-Essartiers,14672,Val de Drôme
16322,Saint-Germain-de-Confolens,16106,Confolens
18239,Saligny-le-Vif,18023,Baugy
20170,Morsiglia,2B170,Morsiglia
20209,Peri,2A209,Peri
20236,Poggio-di-Nazza,2B236,Poggio-di-Nazza
20333,Vallecalle,2B333,Vallecalle
29052,Esquibien,29003,Audierne
38121,Commelle,38479,Porte-des-Bonnevaux
48006,Arcomie,48012,Les Monts-Verts
50063,Bolleville,50236,La Haye
50073,Branville-Hague,50041,La Hague
50199,Genêts,50199,Genêts
50622,Vaudrimesnil,50550,Saint-Sauveur-Villages
52054,Blancheville,52008,Andelot-Blancheville
61112,Colonard-Corubert,61309,Perche en Nocé
61313,Notre-Dame-du-Rocher,61007,Athis-Val de Rouvre
66100,Llo,66100,Llo
66134,Passa-Llauro-Tordères,66134,Passa
67357,Offenheim,67485,Stutzheim-Offenheim
